integrationSite;gene;Bcells;Monocytes;Neutrophils;NKcells;Tcells;cellCount;key;Bcells_corrected;Monocytes_corrected;Neutrophils_corrected;NKcells_corrected;Tcells_corrected;Bcells_corrected_prop;Monocytes_corrected_prop;Neutrophils_corrected_prop;NKcells_corrected_prop;Tcells_corrected_prop;Bcells_transf_logCLR;Monocytes_transf_logCLR;Neutrophils_transf_logCLR;NKcells_transf_logCLR;Tcells_transf_logCLR;cluster_num;cluster
chr1-100471216;CDC14A;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-10222599;KIF1B;0;1;1;0;1;3;FR01|m48|Blood;0.000134622740374445;0.73338532325051;7.87770488919255;0.00363885631642333;0.128497073378951;1.53971389257104e-05;0.083879110444172;0.900992776237313;0.000416185081947006;0.0146965310976427;-3.76;7.0507;25.2953;-1.6768;0.8346;2;GM
chr1-110348894;RBM15;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-111164999;CEPT1;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-113971098;HIPK1;0;0;0;3;3;6;FR01|m48|Blood;0.000149818804056722;0.000356905219299251;0.00587272275470773;1.4685084768713;0.380884945142519;8.07312180149798e-05;0.000192321606432149;0.00316456978839814;0.791319078733652;0.205243298653502;-2.7891;-2.2255;-0.2477;23.7828;12.4415;1;K
chr1-1186457;TTLL10;0;2;2;0;0;4;FR01|m48|Blood;0.000187104244907754;1.46413553131763;15.7533800561776;0.00630798502172548;0.00120803843590908;1.08622275282155e-05;0.0849995321119393;0.914553267313722;0.000366206381818535;7.01319649917266e-05;-3.2893;14.6483;38.4784;-0.9277;-2.1091;2;GM
chr1-12457762;VPS13D;3;0;0;0;3;6;FR01|m48|Blood;1.12781854629601;0.000632465463890473;0.0203379000419605;0.00331855988553171;0.380598798676251;0.7358347571896;0.000412646229822247;0.0132692743777549;0.00216516363878669;0.248318158564037;13.5667;-2.4626;-0.0823;-1.3133;6.7445;6;B
chr1-13737877;PRDM2;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-147004052;NBPF12;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-147054231;LOC728989;0;0;1;0;3;4;FR01|m48|Blood;0.000206192122332653;0.000339471781848839;7.87170379505768;0.0040552340038099;0.381152586057021;2.49704134536021e-05;4.11109340778832e-05;0.953284228918146;0.000491099604488642;0.0461585901298337;-2.7891;-2.4685;38.9382;-0.7163;10.3183;2;GM
chr1-150404893;RPRD2;0;0;3;0;0;3;FR01|m48|Blood;0.000252086029182582;2.28267923399663e-05;23.6061690599603;0.00784533065882187;0.00177846375791757;1.06743439114244e-05;9.66578880319418e-07;0.999580848626628;0.000332203088852862;7.53073617271608e-05;-1.8437;-3.3866;73.2708;0.303;-0.4348;5;G
chr1-150565686;ADAMTSL4-AS1;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-150684192;GOLPH3L;0;0;0;1;3;4;FR01|m48|Blood;0.000131405596466413;0.000340231765901632;0.00394723573644855;0.491720036126933;0.380668436896818;0.00014986826587108;0.00038803480309125;0.0045018278575152;0.560807386367628;0.434152882705895;-2.6611;-2.0309;-0.2866;16.9485;14.9064;4;T
chr1-150690334;GOLPH3L;0;2;1;0;0;3;FR01|m48|Blood;0.00010307556851356;1.46412792238685;7.8846570361908;0.00369287480211819;0.000615217183269894;1.10203578673584e-05;0.156537712097822;0.842990666491227;0.000394824908225842;6.5776144857164e-05;-3.3525;18.723;36.1282;-0.9538;-2.2276;2;GM
chr1-154891250;KCNN3;0;0;1;2;4;7;FR01|m48|Blood;0.00026573135194165;0.000467737290971967;7.87463845227324;0.98509903471511;0.509262965954842;2.83606081203069e-05;4.99200185284225e-05;0.840433519049197;0.105136287002305;0.0543519133218496;-3.3984;-3.0705;24.691;8.3541;4.9754;2;GM
chr1-155876071;SYT11;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-156475324;MEF2D;0;0;0;0;7;7;FR01|m48|Blood;0.000286383160150814;0.000777973568899108;0.00698771860886176;0.00337602788755695;0.892131907656173;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
